,fid,name,kcal
0,01011001,쌀밥,310
1,01012001,기타잡곡밥,292
2,01012002,콩밥,345
3,01012003,보리밥,294
4,01012004,돌솥밥,384
5,01012005,현미밥,321
6,01012006,흑미밥,293
7,01013001,감자밥,308
8,01013002,곤드레밥,359
9,01014001,김치볶음밥,446
10,01014002,주먹밥,150
11,01014003,볶음밥,504
12,01014004,일반비빔밥,637
13,01014005,전주비빔밥,637
14,01014006,삼선볶음밥,582
15,01014007,새우볶음밥,486
16,01014008,알밥,371
17,01014009,산채비빔밥,391
18,01014010,오므라이스,380
19,01014011,육회비빔밥,531
20,01014012,해물볶음밥,508
21,01014013,열무비빔밥,394
22,01015002,불고기덮밥,440
23,01015003,소고기국밥,285
24,01015004,송이덮밥,582
25,01015005,오징어덮밥,667
26,01015006,자장밥,742
27,01015007,잡채밥,720
28,01015008,잡탕밥,777
29,01015009,장어덮밥,717
30,01015010,제육덮밥,156
31,01015011,짬뽕밥,647
32,01015012,순대국밥,540
33,01015013,카레라이스,672
34,01015014,전주콩나물국밥,445
35,01015015,해물덮밥,772
36,01015016,회덮밥,683
37,01015017,소머리국밥,632
38,01015018,돼지국밥,470
39,01015019,하이라이스,701
40,01016001,김치김밥,318
41,01016002,농어초밥,397
42,01016003,문어초밥,392
43,01016004,새우초밥,388
44,01016005,새우튀김롤,607
45,01016006,샐러드김밥,406
46,01016007,광어초밥,56
47,01016008,소고기김밥,500
48,01016009,갈비삼각김밥,161
49,01016010,연어롤,510
50,01016011,연어초밥,66
51,01016012,유부초밥,90
52,01016013,장어초밥,486
53,01016014,참치김밥,418
54,01016015,참치마요삼각김밥,163
55,01016017,치즈김밥,545
56,01016018,캘리포니아롤,318
57,01016019,한치초밥,374
58,01016020,일반김밥,318
59,02011001,간자장,810
60,02011002,굴짬뽕,681
61,02011003,기스면,607
62,02011004,김치라면,505
63,02011005,김치우동,481
64,02011006,김치말이국수,431
65,02011007,닭칼국수,297
66,02011008,들깨칼국수,616
67,02011009,떡라면,538
68,02011010,라면,515
69,02011011,막국수,452
70,02011012,메밀국수,221
71,02011013,물냉면,382
72,02011014,비빔국수,618
73,02011015,비빔냉면,463
74,02011016,삼선우동,692
75,02011017,삼선자장면,804
76,02011018,삼선짬뽕,662
77,02011019,수제비,371
78,02011020,쌀국수,320
79,02011021,열무김치국수,221
80,02011023,오일소스스파게티,647
81,02011024,일식우동,59
82,02011025,볶음우동,642
83,02011027,자장면,785
84,02011028,잔치국수,447
85,02011029,짬뽕,464
86,02011030,짬뽕라면,590
87,02011031,쫄면,301
88,02011032,치즈라면,604
89,02011033,콩국수,513
90,02011034,크림소스스파게티,587
91,02011035,토마토소스스파게티,620
92,02011036,해물칼국수,292
93,02011037,회냉면,531
94,02011038,떡국,345
95,02011039,떡만둣국,442
96,02011040,짜장라면,530
97,02012001,고기만두,68
98,02012002,군만두,77
99,02012003,김치만두,53
100,02012004,물만두,28
101,02012005,만둣국,217
102,03011001,게살죽,565
103,03011002,깨죽,515
104,03011003,닭죽,247
105,03011004,소고기버섯죽,578
106,03011005,어죽,150
107,03011006,잣죽,340
108,03011007,전복죽,591
109,03011008,참치죽,660
110,03011009,채소죽,198
111,03011010,팥죽,382
112,03011011,호박죽,257
113,03012001,콘스프,83
114,03012002,토마토스프,93
115,04011001,굴국,54
116,04011002,김치국,89
117,04011003,달걀국,54
118,04011004,감자국,85
119,04011005,미역국,83
120,04011006,바지락조개국,65
121,04011007,소고기무국,192
122,04011008,소고기미역국,177
123,04011010,순대국,540
124,04011011,어묵국,121
125,04011012,오징어국,77
126,04011013,토란국,50
127,04011014,탕국,149
128,04011015,홍합미역국,26
129,04011016,황태해장국,30
130,04012001,근대된장국,140
131,04012002,미소된장국,84
132,04012003,배추된장국,107
133,04012004,뼈다귀해장국,315
134,04012005,선지(해장)국,430
135,04012006,콩나물국,20
136,04012007,시금치된장국,120
137,04012008,시래기된장국,65
138,04012009,쑥된장국,70
139,04012010,아욱된장국,80
140,04012011,우거지된장국,65
141,04012012,우거지해장국,25
142,04012013,우렁된장국,90
143,04013002,갈비탕,466
144,04013003,감자탕,151
145,04013004,곰탕,185
146,04013005,매운탕,213
147,04013006,꼬리곰탕,766
148,04013007,꽃게탕,400
149,04013008,낙지탕,542
150,04013009,내장탕,547
151,04013010,닭곰탕,137
152,04013011,닭볶음탕,230
153,04013012,지리탕,88
154,04013013,도가니탕,573
155,04013014,삼계탕,918
156,04013015,설렁탕,118
157,04013017,알탕,376
158,04013018,연포탕,542
159,04013019,오리탕,241
160,04013020,추어탕,194
161,04013021,해물탕,80
162,04013022,닭개장,285
163,04013023,육개장,165
164,04013024,뼈해장국,315
165,04014001,미역오이냉국,32
166,04015001,고등어찌개,228
167,04015002,꽁치찌개,125
168,04015003,동태찌개,368
169,04016001,부대찌개,520
170,04017001,된장찌개,176
171,04017002,청국장찌개,93
172,04018001,두부전골,248
173,04018002,곱창전골,171
174,04018003,소고기전골,133
175,04018004,국수전골,248
176,04019001,돼지고기김치찌개,128
177,04019002,버섯찌개,43
178,04019003,참치김치찌개,104
179,04019004,순두부찌개,259
180,04019005,콩비지찌개,135
181,04019006,햄김치찌개,144
182,04019007,호박찌개,68
183,04019008,고추장찌개,411
184,05011001,대구찜,105
185,05011002,도미찜,109
186,05011004,문어숙회,74
187,05011008,아귀찜,84
188,05011010,조기찜,138
189,05011011,참꼬막,81
190,05011012,해물찜,275
191,05012001,소갈비찜,98
192,05012002,돼지갈비찜,566
193,05012003,돼지고기수육,301
194,05012004,찜닭,385
195,05012005,족발,394
196,05013001,달걀찜,91
197,06012001,닭갈비,595
198,06012002,닭꼬치,258
199,06012003,돼지갈비,208
200,06012004,떡갈비,767
201,06012005,불고기,489
202,06012006,소곱창구이,426
203,06012007,소양념갈비구이,136
204,06012008,소불고기,489
205,06012009,양념왕갈비,196
206,06012010,햄버거스테이크,479
207,06012011,훈제오리,319
208,06012012,치킨데리야끼,305
209,06012013,치킨윙,193
210,06013001,더덕구이,22
211,06013002,양배추구이,95
212,06013003,두부구이,118
213,06014001,삼치구이,124
214,07011001,가자미전,157
215,07011002,굴전,188
216,07011003,동태전,74
217,07011004,해물파전,240
218,07012001,동그랑땡,30
219,07012002,햄부침,178
220,07012003,육전,292
221,07013001,감자전,188
222,07013002,고추전,151
223,07013003,김치전,153
224,07013004,깻잎전,361
225,07013005,녹두빈대떡,208
